"filer_name","race","district","party"
"Shenna Bellows","Governor",NA,"Democratic"
"Jonathan Bush","Governor",NA,"Republican"
"Robert Charles","Governor",NA,"Republican"
"Troy Jackson","Governor",NA,"Democratic"
"David Jones","Governor",NA,"Republican"
"Angus King, III","Governor",NA,"Democratic"
"James Libby","Governor",NA,"Republican"
"Garrett Mason","Governor",NA,"Republican"
"Owen McCarthy","Governor",NA,"Republican"
"Benjamin Midgley","Governor",NA,"Republican"
"Hannah Pingree","Governor",NA,"Democratic"
"Nirav Shah","Governor",NA,"Democratic"
"Robert Wessels","Governor",NA,"Republican"
"Lucien Daigle","Senator","1","Republican"
"Vaughn Mclaughlin","Senator","1","Democratic"
"Harold Hull","Senator","2","Democratic"
"Harold Stewart, III","Senator","2","Republican"
"Danny Costain","Senator","3","Republican"
"Stanley Short, Jr.","Senator","3","Democratic"
"Joel Stetkis","Senator","3","Republican"
"Joseph Guerin","Senator","4","Republican"
"Lisa Kalp","Senator","4","Democratic"
"Chad Perkins","Senator","4","Republican"
"Gregory Pierce","Senator","4","Republican"
"Zachary Wood","Senator","4","Republican"
"Elizabeth Caruso","Senator","5","Republican"
"Robert Sullebarger","Senator","5","Democratic"
"Kenneth Davis, Jr.","Senator","6","Republican"
"Billy Faulkingham","Senator","6","Republican"
"Nicole Grohoski","Senator","7","Democratic"
"Cheryl Hewes","Senator","7","Republican"
"Leo Kenney","Senator","8","Republican"
"Michael Tipping","Senator","8","Democratic"
"Amy Roeder","Senator","9","Democratic"
"David Haggan","Senator","10","Republican"
"Kevin O'Connell","Senator","10","Democratic"
"Glenn Curry","Senator","11","Democratic"
"Ryan Otis","Senator","11","Republican"
"Ann Matlack","Senator","12","Democratic"
"Cameron Reny","Senator","13","Democratic"
"Craig Hickman","Senator","14","Democratic"
"Steven McGee","Senator","14","Republican"
"Amanda Heath","Senator","15","Democratic"
"Kati McCormick","Senator","15","Republican"
"Scott Cyrway","Senator","16","Republican"
"Patric Moore","Senator","16","Democratic"
"Jo-Jean Keller","Senator","17","Democratic"
"Richard Mason","Senator","17","Republican"
"Joshua Morris","Senator","17","Republican"
"John Andrews","Senator","18","Republican"
"Elizabeth Bosworth","Senator","18","Democratic"
"Joseph Martin","Senator","19","Republican"
"Peter Southam","Senator","19","Democratic"
"Bruce Bickford","Senator","20","Republican"
"Michael Scott","Senator","20","Democratic"
"Mana Abdi","Senator","21","Democratic"
"Shanna Cox","Senator","21","Democratic"
"Nathan Burnett","Senator","22","Democratic"
"Kimberly Pomerleau","Senator","22","Republican"
"Matthea Daughtry","Senator","23","Democratic"
"Bernard Porter","Senator","23","Republican"
"Denise Tepler","Senator","24","Democratic"
"Teresa Pierce","Senator","25","Democratic"
"Kenneth Cianchette","Senator","26","Republican"
"Timothy Nangle","Senator","26","Democratic"
"Peter Violette","Senator","26","Republican"
"Jill Duson","Senator","27","Democratic"
"Rachel Ross","Senator","28","Democratic"
"Anne Carney","Senator","29","Democratic"
"Vincent Maietta","Senator","29","Republican"
"Eleanor Sato","Senator","30","Democratic"
"Sophia Warren","Senator","30","Democratic"
"Harry White","Senator","30","Republican"
"Donna Bailey","Senator","31","Democratic"
"Garrett Plummer","Senator","31","Republican"
"Henry Ingwersen","Senator","32","Democratic"
"Matthew Harrington","Senator","33","Republican"
"Mark Vigliotta","Senator","33","Democratic"
"Jonathan Fallon","Senator","34","Republican"
"Daniel Sayre","Senator","34","Democratic"
"Michele Meyer","Senator","35","Democratic"
"Julie Rakic","Senator","35","Republican"
"Deane Rykerson","Senator","35","Democratic"
"Dana Appleby","Representative","1","Democratic"
"Austin Theriault","Representative","1","Republican"
"Roger Albert","Representative","2","Republican"
"Roland Martin","Representative","2","Democratic"
"Susan Bernard","Representative","3","Republican"
"Jack McCarthy","Representative","3","Republican"
"David McCrea","Representative","3","Democratic"
"Timothy Guerrette","Representative","4","Republican"
"Bruce Archer","Representative","5","Democratic"
"Douglas Carlisle, Jr.","Representative","5","Republican"
"Donald Ardell","Representative","6","Republican"
"Melanie Tompkins","Representative","6","Democratic"
"Jantzen Craine","Representative","7","Republican"
"Matthew Rush","Representative","7","Democratic"
"Tracy Quint","Representative","8","Republican"
"Arthur Mingo","Representative","9","Republican"
"Nicole Richards","Representative","9","Democratic"
"Daniel Daley","Representative","10","Republican"
"Genevieve Lemire","Representative","10","Democratic"
"William Tuell","Representative","10","Republican"
"Keith Newman","Representative","11","Democratic"
"Tiffany Strout","Representative","11","Republican"
"Thomas Hart, Jr.","Representative","12","Republican"
"Michael Cunningham, II","Representative","13","Democratic"
"Russell White","Representative","13","Republican"
"Jean Donovan","Representative","14","Republican"
"Gary Friedmann","Representative","14","Democratic"
"Holly Eaton","Representative","15","Democratic"
"Nina Milliken","Representative","16","Democratic"
"Eric White","Representative","16","Republican"
"Steven Bishop","Representative","17","Republican"
"Ronald Russell","Representative","17","Democratic"
"Jonathan Goble","Representative","18","Democratic"
"Mathew McIntyre","Representative","18","Republican"
"Richard Campbell","Representative","19","Republican"
"David Ulrich","Representative","19","Democratic"
"Patrick Jude","Representative","20","Republican"
"Dani O'Halloran","Representative","20","Democratic"
"Frank Casella","Representative","21","Republican"
"Andrew Laverdiere","Representative","21","Republican"
"Ambureen Rana","Representative","21","Democratic"
"Colleen O'Neal","Representative","22","Republican"
"Laura Supica","Representative","22","Democratic"
"Brian Ames","Representative","23","Republican"
"Katie Brydon","Representative","23","Democratic"
"Victoria Kornfield","Representative","23","Democratic"
"Joschka Winterling","Representative","23","Democratic"
"Sean Faircloth","Representative","24","Democratic"
"Laurie Osher","Representative","25","Democratic"
"Anthony Weaver","Representative","25","Republican"
"James Dill","Representative","26","Democratic"
"Edward Paradis","Representative","26","Republican"
"Devan Arnold","Representative","27","Democratic"
"David Giles","Representative","27","Republican"
"Irene Gifford","Representative","28","Republican"
"Gordon Street","Representative","28","Democratic"
"Nancy McDowell","Representative","29","Democratic"
"James Michaud","Representative","29","Republican"
"Nancy Theriault","Representative","29","Republican"
"John Contreni, Jr.","Representative","30","Democratic"
"James White","Representative","30","Republican"
"Eric Boothroyd","Representative","31","Democratic"
"Andrew Torbett","Representative","31","Republican"
"Shawn Lancaster","Representative","32","Republican"
"Michael Brayson","Representative","33","Democratic"
"Kenneth Fredette","Representative","33","Republican"
"Stacey Guerin","Representative","34","Republican"
"James McClymer","Representative","34","Democratic"
"Debora Farnham","Representative","35","Democratic"
"James Thorne","Representative","35","Republican"
"Clifton Foster, III","Representative","36","Democratic"
"Kimberly Haggan","Representative","36","Republican"
"Alan Orcutt","Representative","37","Democratic"
"Reagan Paul","Representative","37","Republican"
"Jason Cherry","Representative","38","Democratic"
"Benjamin Hymes","Representative","38","Republican"
"Kayla Miller","Representative","38","Democratic"
"Madison Cook","Representative","39","Democratic"
"Michael Nicholson","Representative","39","Republican"
"Joseph McLaughlin","Representative","40","Republican"
"D. Ray","Representative","40","Democratic"
"Joshua Gerritsen","Representative","41","Democratic"
"Marcus Mrowka","Representative","41","Democratic"
"Cory Raymond","Representative","41","Republican"
"Melissa Byer","Representative","42","Republican"
"Valli Geiger","Representative","42","Democratic"
"Christopher Austin","Representative","43","Republican"
"Michael Flanagan","Representative","43","Republican"
"Rhiannon Hampson","Representative","43","Democratic"
"Peter Jenks","Representative","43","Democratic"
"Brady Clark","Representative","44","Republican"
"Ray Thombs, Jr.","Representative","44","Republican"
"Rebecca Stephens","Representative","45","Republican"
"Jennifer Mayher","Representative","46","Democratic"
"Wayne Farrin","Representative","47","Democratic"
"Chester Grover, III","Representative","47","Republican"
"Erik Hobson","Representative","48","Republican"
"Charlotte Nutt","Representative","48","Democratic"
"Suzanne Andresen","Representative","49","Republican"
"Nicolas Hamlin","Representative","49","Republican"
"Trent Vellella","Representative","49","Democratic"
"Jedediah Rice, II","Representative","50","Republican"
"David Sinclair","Representative","50","Democratic"
"Louis Larios","Representative","51","Republican"
"Rafael Macias","Representative","51","Democratic"
"Annalyse Sarvinas","Representative","51","Republican"
"Sally Cluchey","Representative","52","Democratic"
"David Guilmette","Representative","52","Republican"
"Richard Goldman","Representative","53","Democratic"
"Michael Lemelin","Representative","53","Republican"
"Karen Montell","Representative","54","Democratic"
"Michelle Tucker","Representative","54","Republican"
"Maureen AuCoin","Representative","55","Democratic"
"Steven Butterfield","Representative","55","Democratic"
"Charles Hippler, IV","Representative","55","Republican"
"Randall Greenwood","Representative","56","Republican"
"Robin Upton-Sukeforth","Representative","56","Democratic"
"Tavis Hasenfus","Representative","57","Democratic"
"David Potvin","Representative","57","Republican"
"Lawrence Bessey","Representative","58","Republican"
"Dexter Bridges, Jr.","Representative","58","Republican"
"Jeffrey Harris","Representative","58","Republican"
"Katrina Couch Ray-Saulis","Representative","59","Democratic"
"Thomas Keefe","Representative","59","Democratic"
"John Reny","Representative","59","Republican"
"Wyatt Beaulieu","Representative","60","Republican"
"William Bridgeo","Representative","60","Democratic"
"Alicia Collins","Representative","61","Republican"
"Robin Crawley","Representative","61","Democratic"
"Katrina Smith","Representative","62","Republican"
"Pamela Swift","Representative","62","Democratic"
"Paul Flynn","Representative","63","Republican"
"Taylor West","Representative","63","Democratic"
"Flavia DeBrito","Representative","64","Democratic"
"Shawn Packard","Representative","64","Republican"
"Cassie Julia","Representative","65","Democratic"
"Scott Strom","Representative","65","Republican"
"Michael Perkins","Representative","66","Republican"
"Shawn Dixon","Representative","67","Republican"
"Matthew Townsend","Representative","67","Democratic"
"Amanda Collamore","Representative","68","Republican"
"Jessica Blanchard","Representative","69","Democratic"
"Dean Cray","Representative","69","Republican"
"Joseph Almand","Representative","70","Democratic"
"Jennifer Poirier","Representative","70","Republican"
"John Ducharme, III","Representative","71","Republican"
"Allison Perkins","Representative","71","Democratic"
"Cynthia Soma-Hernandez","Representative","72","Democratic"
"Douglas Thomas","Representative","72","Republican"
"Ryan Morgan","Representative","73","Republican"
"Daniel Simonds","Representative","73","Democratic"
"Michael Soboleski","Representative","73","Republican"
"Russell Black","Representative","74","Republican"
"Marc Edwards","Representative","74","Democratic"
"Randall Gauvin","Representative","75","Republican"
"H. Landry","Representative","75","Democratic"
"Trevor Doiron","Representative","76","Democratic"
"Sheila Lyman","Representative","76","Republican"
"Nicole Bambrick","Representative","77","Republican"
"Arlie Hetrick, Jr.","Representative","77","Democratic"
"Tammy Schmersal-Burgess","Representative","77","Republican"
"Rachel Henderson","Representative","78","Republican"
"Woodleigh Hughes","Representative","78","Democratic"
"Michael Lance","Representative","79","Republican"
"Brianna Lueck","Representative","79","Democratic"
"Ernest Fitts, IV","Representative","80","Republican"
"Gino Valeriani","Representative","80","Republican"
"Christopher Easton","Representative","81","Democratic"
"Peter Wood","Representative","81","Republican"
"Christopher Lewey","Representative","82","Democratic"
"Caleb Ness","Representative","82","Republican"
"Timothy Becker","Representative","83","Democratic"
"Marygrace Cimino","Representative","83","Republican"
"Cassandra Dove","Representative","84","Democratic"
"Mark Walker","Representative","84","Republican"
"Timothy Nickels","Representative","85","Republican"
"Adrienne Paul","Representative","85","Republican"
"Paul Welch","Representative","85","Democratic"
"Abigail Geer","Representative","86","Democratic"
"Rolf Olsen, Jr.","Representative","86","Republican"
"John Baldwin","Representative","87",NA
"David Boyer, Jr.","Representative","87","Republican"
"Quentin Chapman","Representative","88","Republican"
"Dana Staples","Representative","88","Democratic"
"James Berube","Representative","89","Republican"
"Adam Lee","Representative","89","Democratic"
"Pamela Hart","Representative","90","Democratic"
"James Sorcek","Representative","90","Republican"
"Emily Dingman","Representative","91","Democratic"
"Jeffrey Timberlake","Representative","91","Republican"
"Stephen Wood","Representative","92","Republican"
"Julia McCabe","Representative","93","Democratic"
"Chad Syphers","Representative","93","Republican"
"Janet Beaudoin","Representative","94","Republican"
"Scott Harriman","Representative","94","Democratic"
"Matthew Kershaw","Representative","95","Democratic"
"Kiernan Majerus-Collins","Representative","95","Democratic"
"Bret Martel","Representative","95","Republican"
"Kerryl Clement","Representative","96","Republican"
"Luke Jensen","Representative","96","Democratic"
"Dale Crafts","Representative","97","Republican"
"Thomas Watson","Representative","97","Democratic"
"Guy Lebida","Representative","98","Republican"
"William St. Michel","Representative","98","Republican"
"Kilton Webb","Representative","98","Democratic"
"Cheryl Golek","Representative","99","Democratic"
"Braeden Webber","Representative","99","Republican"
"Daniel Ankeles","Representative","100","Democratic"
"Brett Barrett","Representative","100","Republican"
"Poppy Arford","Representative","101","Democratic"
"Ravi Jackson","Representative","101","Republican"
"Henry Lawrence, III","Representative","102","Republican"
"Maura Pillsbury","Representative","102","Democratic"
"Karin Orenstein","Representative","103","Democratic"
"R. Winslow","Representative","104","Republican"
"Susan Fuller","Representative","105","Republican"
"Anne Graham","Representative","105","Democratic"
"Barbara Bagshaw","Representative","106","Republican"
"Bradley Youngs","Representative","106","Democratic"
"Joseph Campbell","Representative","107","Democratic"
"Mark Cooper","Representative","107","Republican"
"Kelly Dearborn","Representative","108","Republican"
"Parnell Terry","Representative","108","Democratic"
"Diana Kushnar","Representative","109","Republican"
"Seven Siegel","Representative","109","Democratic"
"Jason Copp","Representative","110","Republican"
"Christina Mitchell","Representative","110","Democratic"
"Amy Kuhn","Representative","111","Democratic"
"Lauren Jones","Representative","112","Republican"
"Sean Mahoney","Representative","112","Democratic"
"Grayson Lookner","Representative","113","Democratic"
"Lisa Nelthropp","Representative","113","Republican"
"April Fournier","Representative","114","Democratic"
"Andrew Zarro","Representative","115","Democratic"
"Samuel Zager","Representative","116","Democratic"
"Matthew Moonen","Representative","117","Democratic"
"Yusuf Yusuf","Representative","118","Democratic"
"Michael Dixon","Representative","119","Democratic"
"Jacob Wakem","Representative","119","Republican"
"Michael Dougherty","Representative","120","Republican"
"Jason Shedlock","Representative","120","Democratic"
"Robert Cameron","Representative","121","Democratic"
"Meagan Smith","Representative","121","Republican"
"Matthew Beck","Representative","122","Democratic"
"Michelle Boyer","Representative","123","Democratic"
"Annie Christy","Representative","123","Republican"
"Scott Doherty","Representative","124","Republican"
"Eric Nathanson","Representative","124","Democratic"
"Kelly Murphy","Representative","125","Democratic"
"Andrew Gattine","Representative","126","Democratic"
